username,totalStarsReceived
antihutka,25
ryanquinnnelson,19
moqi112358,9
Desa1egn,0
gicsaw,39
sechetbot,1
hz-ants,129
NaturezzZ,3289
reshow,209
yuxwhkbu,0
dnlcrl,336
aqbewtra,6
Naagar,32
songrise,456
liaomingg,55
wang678,4
wuxiaolianggit,24
vimarshc,15
ACVAE,0
Cai-Yichao,164
neuece,9
Lyken17,11709
JohnNehls,1
tulacik,1
jcheunglin,31
thuyngch,876
fan-linhao,1
ChungYi347,136
bnicholl,0
salmedina,99
liucongg,8131
Wayne122,3
DGenady,0
Huang-rookie,0
MoMe36,168
LizzieTang,7
nikheelpandey,22
calebl37,5
dragen1860,26649
xelahalo,25
clcarwin,2494
8yrce,2
smj007,93
undefinedXD,55
wangmengsd,145
mmkekic,7
zsef123,849
davidtvs,1305
zhangjh915,9
VecihiAsim,1
ronithbinny,12
mimbres,230
williamSYSU,928
HsLOL,169
hankniu01,21
Normalist-K,4
bigmb,1827
lyp741,38
biyoml,48
qiaosiyi,166
chaozhong2010,298
Andr1u5,8
splionar,80
Sarthak-22,13
smiler96,165
iliathesmirnov,63
yytang2012,6
Flo11,0
rahulrathnakumar,1
charliehpearce,2
Momilijaz96,50
ben-mackenzie,1
gittygupta,11
lorrywu,0
shanemankiw,109
ChawDoe,168
jiaxiang-cheng,385
shehuan,4323
HuzaifaToor,2
Knight3-code,0
Spiffical,13
SomaNonaka,69
pr1266,35
Grand251,0
M-Daniyal-123,8
wilkice,0
jiajunhua,2535
SyedaSakinaZaidi97,0
chuanli11,1247
De4r,0
abhayraw1,25
ap229997,1257
SnowIsWhite,9
yanjingke,31
aditya12agd5,233
yueqiw,78
dreamplus1989,0
amnsr17,0
tachillon,9
siyaroner,2
luninsun,2
ImKeTT,287
RimDan,4
SindiLab,0
tangshengeng,19
jkr26,2273
prismspecs,185
pdefusco,38
XuLongjia,8
baroibeo,3
hiepbkhn,6
MaximumEntropy,2193
adityarp9,4
andrewsunst,1
AiueoABC,19
ModelBunker,0
ali2009a,1
whywww,56
aitorzip,2870
Ren-Yaqian,2
Vipermdl,248
yaoyi30,117
CODEJIN,649
SAGNIKMJR,69
jaroslaw1007,42
henie2333,0
SaiPrajwal95,26
shengteng19,0
bearbearyu1223,142
yipersevere,0
7689000,0
kaixu-zen,0
CeasonCui,4
romulus0914,256
SilentStars,13
snowflakewang,1
alantanlc,52
yoonsanghyu,119
goldenbili,5
danielkelshaw,68
sunlanchang,75
Immortals88,22
Mark-Sang,34
tuananh1007,49
zzzzzzzzzzzzz,7
KongBe1999,5
daomengkiller,3
Wredter,2
HopefulRational,32
kumar-shridhar,2019
Ivanaluo,0
joeljosephjin,17
mengzhangjian,10
chengjie11,0
kooyunmo,101
minhna1112,161
NuealYoon,3
rahuldshetty,228
sgrvinod,8397
andrew-bydlon,0
PoonKinWang,0
Xiangyi1996,188
Zoesxw,1
nikunjlad,16
Nebula4869,282
sung0471,9
abdxxw,39
dkp1903,210
Karthik-Ragunath,11
HopLee6,171
long95288,15
ggxxding,5
cmFighting,123
ramjv,6
vyraun,503
KuoHaoZeng,385
clw5180,109
Aismarter,29
dayekuaipao,17
GerogeZhi,0
keyu-tian,3988
thegyro,142
myay,26
UncleThree0402,10
GeoZcx,203
Xylambda,34
trieutranq,2
jiangszzzzz,2
tollymune,3
dongheehand,263
KarhouTam,566
samsungexpert,0
undertherain,136
faportillo,3
percent4,2277
ml-lab,0
xz6014,37
patugosavi,12
tuladhay,72
mattresnick,0
Ugenteraan,336
HoldemGK,6
jiayongzhang,2
takmin,815
juntang-zhuang,1756
CuriousCat-7,64
jrobertojunior,16
DaehanKim,405
siniphia,6
zhoudaxia233,271
SpikeKing,4265
mnmjh1215,53
nin-yu,17
dalinvip,6470
setyongr,47
rshormazabal,11
railiavaliullina,2
ZhangMingxin1997,0
AyadAlmamary,27
comeeasy,26
Avi197,14
amitmeel,2
NULL-2019,0
sovit-123,1360
KevinChen1994,62
nikhilbarhate99,2216
Silent-voice,43
JinFree,28
mingminzhen,26
kevinkbc,2
juun9714,1
SunnerLi,312
beomgonyu,0
ducminhkhoi,160
vinesmsuic,602
mruberry,78603
apsarath,227
LvXueshuai,0
MouxiaoHuang,40
suyashjoshi,0
mklimasz,177
xiong-ml,0
SatoKeiju,2
diabhiue,0
lihsintseng,5
lienguang0624,0
GuHongyang,186
ixn872,8
adipandas,861
ElHouas,0
Teun-Schuur,3
Beitadoge,0
Dzautriet,6
HenrySchwerdt,7
iskovskikh,1
QQQQ00243,5
edwardwterry,1
krumo,766
Bigpig4396,791
mzhang367,58
huyvnphan,626
inkplatform,1
nicoyang-21,5
gathierry,358
DableUTeeF,22
HollrayChan,6
SeoLabASU,0
eugenelet,330
V-ea,2
ferisetiawan,0
nickiteks,3
sabirdvd,24
Neeti-Jain,0
Lluvia-Tang,10
branislav1991,71
yeyanan93,5
CheQiXiao,1
biditdas18,0
YOUSIKI,61
diggerdu,4180
ihollywhy,145
AlanJacob97,0
geekyutao,6580
ppva,7
BannyStone,169
meiirbek-islamov,41
johnhany,298
hunkim,19545
vvagias,7
danielliucs,313
sagnik1511,329
JimpeiYamamoto,4
jusque-a-la-fin,0
hiyouga,21634
AEMARV,3
IVPLatNU,23
PhotoWolf,0
rimusa,10
js05212,928
samx97,0
pengfe2017,0
LennonLau,1
jxm6165,11
LoredCast,90
zhtjtcz,276
Michael-OvO,498
erilyth,654
wendywlh,0
muhmaz3,1
shufanwu,49
saeedahmadian,5
AlanGacihi,0
ColinKohler,130
ashawkey,25878
clvrai,0
MaximeAeva,7
AndyPhoenix9879,0
lhsheild,4
