username,stars
krisuety,20.0
hiroyasuakada,30.0
pradeepsk-23,0.0
pshlego,7.0
jeongabae,1.0
shivasanketh-rm,1.0
mxl1990,15.0
arnab39,30.0
wilkice,30.0
cc97nitu,1.0
os-hxfan,19.0
SomaNonaka,0.0
Xiehuaiqi,30.0
wilile26811249,30.0
AndreaCossu,30.0
AgnesNM,19.0
shimon-c,0.0
rachelpeichen,16.0
wenleix,30.0
tuladhay,22.0
ryanquinnnelson,6.0
y0ast,30.0
Desa1egn,0.0
devonsuper,4.0
tangshengeng,25.0
sicong-huang,30.0
HollrayChan,30.0
Luhaozhu,13.0
ajbrock,0.0
alejands,3.0
ty625911724,30.0
wenzhilong,1.0
LongLong-Jing,30.0
bbidong,10.0
hrzlmx,
RuurdBijlsma,30.0
sevenzero70,30.0
shubhamjn1,30.0
huiguoo,5.0
NateThom,30.0
Jintao-Huang,30.0
vprayagala,0.0
Munggoose,30.0
Xiaoctw,13.0
otzslayer,26.0
SummerHuiZhang,30.0
dragen1860,30.0
tewei,3.0
discdetsu,9.0
yumening7,3.0
jewfro-cuban,13.0
clw5180,30.0
pprp,30.0
ArnaudFickinger,0.0
YimingZzz,8.0
Vin-Xi,0.0
Hyunmok-Park,2.0
Jen-Jon,
DeepInEvil,30.0
Jw-Jn,4.0
vivektyagiibm,0.0
roguh,30.0
limberc,30.0
lmiz100,0.0
Michael-OvO,30.0
EliasPapachristos,30.0
chenzyhust,24.0
LucasVandroux,30.0
SAGNIKMJR,30.0
xiuyuan0216,14.0
beomgonyu,0.0
aaronespasa,30.0
tivandic,0.0
wjdghks950,30.0
Joyce94,30.0
ben-mackenzie,0.0
fcorencoret,17.0
EderSantana,30.0
Anubis7th,1.0
ZhenyueQin,
kir3i,17.0
XingruiWang,30.0
dreamplus1989,0.0
bellchenx,30.0
github-pengge,11.0
ferisetiawan,1.0
liuslnlp,30.0
Ovikx,12.0
obijzbo,0.0
Jiajun-Liu,26.0
Immortals88,19.0
SagarGuttal,6.0
ycjing,30.0
ihollywhy,30.0
Teun-Schuur,11.0
TahsinPavel,5.0
ArtyZe,15.0
Pragjnesh,0.0
kacostello,0.0
visbond,30.0
whzhangg,30.0
hurxx018,7.0
ziqi-zhang,30.0
zllrunning,30.0
ChawDoe,0.0
mits58,30.0
flarelink,5.0
nikunjlad,22.0
DoganK01,30.0
SpeedOfSpin,30.0
Joejiong,30.0
wnsgur1198,0.0
terrorizer1980,9.0
stanlee321,30.0
DongSky,30.0
Yogurt2019,30.0
yanjingke,5.0
ferpar,30.0
phohenecker,30.0
aiff22,0.0
Aismarter,30.0
abhishekyana,30.0
The-RunningSnail,10.0
lramach,1.0
JJASMINE22,26.0
GNN2QSU,0.0
plweegie,30.0
onlytailei,30.0
tobyshooters,2.0
zjcs,7.0
jordan-g,30.0
nikheelpandey,30.0
kaiyaointel,
mcgoughlin,5.0
adityarp9,14.0
koptelovmax,0.0
Ugenteraan,30.0
suilin0432,30.0
maxwellzh,8.0
kirant1008,0.0
baroibeo,1.0
WangYuzhen1996,30.0
renatoviolin,7.0
tejash21,0.0
ShivaKondapalli,0.0
Chifffa,11.0
ranjitation,9.0
Olembo,0.0
simotumoz,0.0
karlosdb,2.0
des5ve,0.0
Kevin-JisuKim,0.0
t107598066,0.0
Keezuu,8.0
erika1203,1.0
AnuExMachina,1.0
soumickmj,27.0
dl19940602,30.0
thesuperorange,30.0
romulus0914,30.0
YooJiHyeong,3.0
Ri0S,3.0
abhinav-bhardwaj,30.0
c1rew,30.0
Uchiha-Hieu,0.0
huwprosser,30.0
ml-lab,0.0
assafshocher,4.0
zhangjh915,10.0
TobiasDing,2.0
vinhkhuc,30.0
GenoZhang624,0.0
