username,stars
mollerhoj,30.0
assafge,5.0
lyp741,30.0
kenshohara,30.0
MaximeAeva,24.0
swarnadeep8597,6.0
xz6014,30.0
coldhenry,5.0
filipwinzelllth,
MagaliDrumare,0.0
ijinjay,30.0
nishant1995,0.0
Nakanoma,0.0
DragonChen-TW,30.0
ppva,6.0
oded282,0.0
hefan1,30.0
opatrickchen,11.0
polyuxdq,5.0
201419,30.0
June01,30.0
yipersevere,
foamliu,30.0
Gaozhongpai,30.0
gautam-sharma1,7.0
chakam1307,
mzamjadi,4.0
hz-ants,30.0
YaddaShang,10.0
kevalmorabia97,30.0
Glushiator,30.0
dbbbbm,30.0
domisProgrammingMemes,0.0
ConnorJL,4.0
neetmehta,1.0
Mayukhdeb,30.0
Ikomia-hub,0.0
duc-ke,17.0
digital-nomad-cheng,30.0
Lan-ce-lot,30.0
hsur753,3.0
kobykotiv,30.0
Swag-tb,1.0
MatthewCaseres,30.0
kehuantiantang,15.0
LuisEstebanAcevedoBringas,0.0
IFADA,0.0
stephkno,13.0
bo-10000,29.0
nickiteks,0.0
crcastillo,1.0
KevinChen1994,30.0
yoshua133,16.0
gajdikuka,
Mjkim88,30.0
AnnYoS,0.0
koochak-mehdi,0.0
yifuxiong,6.0
rohanath123,3.0
uitae-kim,5.0
arvention,30.0
MayankSingal,8.0
Honsia,8.0
yyashkir,1.0
D0miH,30.0
Gavin0203,0.0
yqy,1.0
IVPLatNU,0.0
dsp6414,30.0
kevinkbc,0.0
samsungexpert,0.0
julianstastny,8.0
braveapple,30.0
NguyenThanhAI,19.0
futureisatyourhand,21.0
rowantseng,4.0
reetc,0.0
ISwordLion,8.0
LennonLau,20.0
mengzhu0308,0.0
SkyfengBiuBiu,18.0
vy007vikas,30.0
sssharaf,0.0
PrimadonnaGit,30.0
shreyas0906,28.0
luninsun,11.0
borhanreo,10.0
billzhaox,11.0
sarvesh211999,4.0
aitorzip,24.0
StephenStorm,30.0
dalgu90,30.0
holdfire,30.0
Finterly,0.0
dezhili,20.0
8yrce,0.0
ljwa2323,30.0
mashagua,21.0
heming-zhang,21.0
Strideradu,30.0
KnurpsBram,16.0
syys96,30.0
hiyouga,30.0
ycchen1989,30.0
tomelf,30.0
ntlm1686,30.0
gireeshkbogu,30.0
Oops404,30.0
Lluvia-Tang,1.0
SunnerLi,30.0
Averyyy,25.0
congffu,13.0
Hsankesara,30.0
MaskedIsland,0.0
XueJiang16,30.0
gormlai,30.0
Shimwonhyung,0.0
mindingyao,30.0
wwz58,13.0
williamSYSU,30.0
souravsingh,30.0
tienluongngoc,9.0
AlanGacihi,1.0
VictoriousRaptor,30.0
WageningenKing,30.0
biditdas18,0.0
chlee1983,2.0
joshuwaifo,3.0
dkp1903,30.0
ammar885,1.0
kogans1107,0.0
JamesWang007,4.0
xiong-ml,0.0
salmedina,30.0
lldustc,1.0
SSusantAchary,30.0
Reza-Pourrahim,1.0
JoKerDii,30.0
zhulf0804,30.0
ChenEating716,30.0
lantgabor,30.0
jiayi9,3.0
7689000,0.0
erikreppel,30.0
abhayraw1,30.0
zhenshen-mla,26.0
cthurston-clgx,7.0
yashpansari,7.0
Sudhanshu1304,30.0
annadapb,3.0
rayankrish,1.0
t-vi,0.0
BaoWentz,30.0
ZrcLeibniz,1.0
Doragd,30.0
mattresnick,0.0
kawhidiot,
CeasonCui,5.0
MarkhamLee,27.0
frozenparadox99,30.0
ZhangMingxin1997,
cainspencerm,8.0
AiMizuno,30.0
Jaela-C,0.0
MohitJuneja,22.0
iShohei220,18.0
GermanPaul12,10.0
shruti2126,7.0
theidentity,6.0
KanghoonYoon,30.0
Ravitha,10.0
clovaai,0.0
sadhana1058,1.0
shubham1810,30.0
jhhuang96,30.0
douhaoYaz,9.0
safwankdb,30.0
ElliottYan,30.0
djycn,1.0
ashawkey,30.0
bsh0137,0.0
JieChenSimon,9.0
SteinsGate9,11.0
jxgu1016,30.0
smiler96,30.0
cspartalis,12.0
bliunlpr,14.0
goys94,0.0
adaliuBC,6.0
Yuuraa,30.0
akihironitta,30.0
GuHongyang,30.0
mpalaourg,30.0
zwx8981,30.0
apacha,30.0
Optimus1072,4.0
experimenti,30.0
YuehChuan,30.0
johnny-walker,0.0
diabhiue,30.0
chun8933,0.0
socar-serena,25.0
juderoque,1.0
hyungminr,4.0
meizaguirre86,0.0
Technologia-X,0.0
vinesmsuic,30.0
logarithm27,1.0
SJ-Chuang,2.0
lembolov9,2.0
tristandb,12.0
marlondantas,22.0
ddiddi,20.0
kalviny,26.0
fengye-lu,10.0
hliangzhao,30.0
NIRVANALAN,30.0
erilyth,30.0
SukerZ,23.0
acholston,0.0
xu3kev,30.0
alantanlc,30.0
whywww,24.0
MMU-VisionLab,0.0
sagnik1511,30.0
pyaf,30.0
mklimasz,30.0
nebula-beta,30.0
zhtjtcz,30.0
marcoseraphin,2.0
stoneyang159,30.0
ShawK91,6.0
elcolie,30.0
KostasTok,3.0
daisyjack,30.0
sneha0401,1.0
chuanli11,30.0
zhsaile,30.0
VincLee8188,17.0
Smallflyfly,30.0
SiavashCS,8.0
CamiWilliams,30.0
XieYuanfeng,1.0
Syavaprd,0.0
charliehpearce,30.0
hieubkvn123,30.0
ik9702,23.0
trisha025,15.0
g1wang,30.0
Advaiit,0.0
MoaazAbdulrahman,0.0
vivanov879,27.0
DesperateMaker,10.0
amirmallak,0.0
xChiri,0.0
jielongzhong,
ColinKohler,5.0
gpauloski,19.0
zhoujx4,30.0
aykutfirat,14.0
Pradip-Kathiriya,0.0
edwardwterry,1.0
smj007,30.0
r4ho,0.0
justusschock,30.0
HanshuYAN,30.0
aayushs879,16.0
ACVAE,0.0
clearlyCoding,0.0
LiuLinyun,16.0
izmailovpavel,30.0
ErenBalatkan,30.0
jjgarau,4.0
abidikhairi,30.0
Xingxiangrui,5.0
hortune,30.0
Allen2401,14.0
SSARCandy,30.0
ml-illustrated,10.0
luuuyi,30.0
Dave0x21,10.0
zhuodannychen,30.0
taoyang1122,30.0
limingcv,30.0
anushmite,10.0
wadmes,9.0
rahulrathnakumar,22.0
rmehta1987,30.0
ccoltong1215,30.0
lukazaplotnik,0.0
goldenbili,0.0
Rahul250192,0.0
hunkim,30.0
chuliuT,30.0
ashuuuriii,0.0
nriteshranjan,10.0
xvdp,4.0
youzunzhi,30.0
chenyuntc,30.0
tigerneil,30.0
thaoshibe,30.0
HengyiWang,30.0
ZengyuanYu,30.0
zhenghao977,30.0
gigantenbein,13.0
givenone,30.0
mrkieumy,0.0
DetectionBLWX,0.0
ryujaehun,30.0
ha2sd,1.0
tiruota,0.0
Mahsa13473,24.0
yuquanle,30.0
Lyken17,30.0
Windxy,30.0
JunMoLee,0.0
MightyRaccoon,1.0
zsef123,30.0
jbakermans,1.0
ninfueng,30.0
lbz2020,6.0
leichenNUSJ,10.0
summary-GodBlessYou,13.0
arynoviyanto2,0.0
jinalharia,16.0
winston-lin-wei-cheng,0.0
wutianyiRosun,30.0
gittygupta,7.0
pjdevs,20.0
ArsenFromCrimea,0.0
hisham-kottayil,1.0
MogicianXD,30.0
VissageMo,30.0
PhotoWolf,1.0
fanq15,30.0
DateBro,30.0
xk-huang,30.0
ndb796,30.0
ppx-hub,30.0
JASON7033,11.0
zhouruikun,5.0
leichtrhino,5.0
dongheehand,30.0
EnrcDamn,0.0
rahul-jha98,26.0
Cynthia-shi,5.0
GerogeZhi,0.0
yururyuru00,4.0
Keillion,30.0
TTdeveloping,16.0
koenry,0.0
aditya12agd5,1.0
taowenyin,30.0
xelahalo,30.0
BlackyYen,
Julia-Run,
kumar-shridhar,30.0
Kitware,0.0
guolinbuaa,5.0
sckim0430,30.0
BaekKyunShin,19.0
rshormazabal,30.0
satyakrishnagorti,30.0
elonashatri,26.0
AMITKESARI2000,16.0
SnowIsWhite,30.0
Lornatang,1.0
shivanisrivarshini,2.0
diaomin,4.0
kose,0.0
codes1gn,22.0
ShreyDixit,6.0
matsengrp,0.0
kikizxd,21.0
ChenWentai,3.0
rczhen,30.0
CAM1113,13.0
ChenKaiXuSan,14.0
ZhiwenShao,14.0
YiPrograms,30.0
zhaoyuzhi,30.0
traveller59,30.0
vohoaiviet,0.0
leoriohope,15.0
hrxorxm,30.0
InvictusY,30.0
delira-dev,0.0
SilentStars,9.0
VikHerr,0.0
skmhrk1209,10.0
De4r,1.0
1zuu,
humblemat810,2.0
PPhub-hy,0.0
djosix,30.0
devbruce,30.0
Marwanmhks,15.0
romainVala,5.0
peterzhang2029,30.0
BarCodeReader,26.0
Pokemon-Huang,17.0
SyedaSakinaZaidi97,0.0
juun9714,20.0
antihutka,2.0
dingjun6953,3.0
Grand251,0.0
nurpeiis,6.0
saeedahmadian,3.0
IMAC-projects,0.0
bearbearyu1223,30.0
PengBoXiangShang,30.0
tochilkinva,14.0
happyConan,6.0
vimarshc,7.0
ShanksVision,0.0
Ninoko,30.0
MMSS9402,3.0
xiaywang,5.0
erikqu,30.0
jiaxiang-cheng,30.0
Vipermdl,30.0
MMorafah,25.0
TheRealBaka,30.0
PacktPublishing,0.0
noahzn,30.0
pahung1999,0.0
RBirkeland,9.0
philipjball,30.0
ugin331,12.0
dixiyao,30.0
beni045,5.0
SatoKeiju,5.0
Bovbene,0.0
RohauerRobotics,15.0
JohnNehls,30.0
DeepLatte,30.0
pirunita,30.0
dailai,16.0
ZiqiChai,30.0
ainrichman,30.0
shahuzi,7.0
xueleichen,30.0
johnhany,30.0
Huang-rookie,1.0
cdschtz,30.0
milindmalshe,0.0
maggeek,2.0
VecihiAsim,0.0
ydon1111,30.0
ChunjieShan,30.0
st186,30.0
lighTQ,30.0
MaxandYuki,3.0
dat3814606,14.0
SWKoreaBME,30.0
arielkuong,3.0
zzzzzzzzzzzzz,30.0
smitheric95,30.0
Fuyi-Yang,2.0
xkiwilabs,3.0
maingoc1605,5.0
antonyvigouret,10.0
brian-you98,30.0
amnsr17,0.0
ElifCerenGok,3.0
quaziadib,3.0
HenrySchwerdt,13.0
keyu-tian,30.0
SeanCho1996,19.0
m12sl,21.0
gazeai,0.0
EthanJYK,8.0
Ninzore,30.0
good5dog5,30.0
MaximumEntropy,30.0
PSCLab-ASU,0.0
yoonhero,30.0
pd90506,30.0
phanxuanphucnd,30.0
CalumMacLellan1995,1.0
Mystiking,6.0
MahdiAbdolmohammadi,3.0
quantbruce,30.0
puririshi98,1.0
ntkhoa95,30.0
jusque-a-la-fin,0.0
NitzanHod,9.0
Shrey-Viradiya,30.0
ytZhang99,30.0
kiddliao,30.0
Gvence,2.0
yaoyi30,19.0
threewisemonkeys-as,30.0
junzhouye,30.0
henie2333,3.0
m0sys,30.0
AnantVijaySingh,2.0
FangShuheng,30.0
ali2009a,0.0
zhiyunl,30.0
leognha,0.0
etienne87,30.0
wfraher,1.0
codtiger,30.0
xddun,30.0
HyperGDX,4.0
shuaizzZ,30.0
yjt2018,0.0
Alexiland,30.0
tomdburns,9.0
amitmeel,30.0
abhilashabhilash3,0.0
Kongsea,30.0
